fold,H_corr,H_pval,S_corr,S_pval,M_corr,M_pval,B_corr,B_pval
1,-0.48043914660525044,3.9403738865413124e-22,,1,0.2869999672562542,3.098166742922062e-08,,1
2,-0.5507670457586776,1.336637406075296e-28,,1,0.4153645837271709,9.725284791656878e-16,,1
3,-0.0904501487619458,0.09992070301125147,,1,,1.0,,1
4,-0.7161333549384383,7.255527281123327e-58,,1,0.5697155851246836,2.294937023936618e-32,,1
5,0.03589378032477307,0.5391648020817222,,1,-0.5115610529988615,4.484871915088339e-21,,1
6,0.05117613257916964,0.402279425648699,,1,,1.0,,1
7,0.11998483635483927,0.038448756666726494,,1,,1.0,,1
8,0.19017420060548237,0.0013069440999476938,,1,,1.0,,1
9,-0.322722029988466,1.9838298799033507e-08,,1,0.24367915523207256,2.815577520438744e-05,,1
10,0.10637849789231557,0.07714396057307756,,1,0.18369456161750497,0.0021432822579432052,,1
