fold,sample,n_spots,mean_error,std_error,median_error,morans_i,morans_p_value,sig_clustered,lisa_mean,lisa_high_spots,pearson_r
1,A3,359,0.2901679,0.043584093,0.29370543,0.530606743510209,0.001,Yes,2.116514857256797,18,0.17383368
2,A4,343,0.2936852,0.041974645,0.29788148,0.5512303239237653,0.001,Yes,2.2017072145202095,18,0.1633466
3,A5,332,0.28207955,0.042836867,0.28382543,0.49141170614245444,0.001,Yes,1.9567660286413249,17,0.15864256
4,A6,360,0.30080828,0.05711271,0.31572765,0.6762740612030029,0.001,Yes,2.7050960943392095,18,0.20757155
5,B1,295,0.28453562,0.05925704,0.28695837,0.5745302807644506,0.001,Yes,2.2844882650607987,15,0.28879386
6,B2,270,0.25776675,0.06301394,0.26983804,0.5137519075089142,0.001,Yes,2.0378826032067074,14,0.3720343
7,B3,298,0.26917887,0.04609647,0.27355787,0.3767979139029378,0.001,Yes,1.502134069361083,15,0.31942937
8,B4,283,0.25948203,0.057231434,0.26100028,0.44704172799183906,0.001,Yes,1.7834279877726273,15,0.3521066
9,B5,289,0.27506816,0.04299628,0.2799388,0.4820600796740123,0.001,Yes,1.9199001953169024,15,0.2979381
10,B6,277,0.2702947,0.051530514,0.27234206,0.4212992072644816,0.001,Yes,1.6806341274623198,14,0.32877904
11,C1,176,0.20681342,0.04699218,0.19702952,0.5692674517631531,0.001,Yes,2.2770696347931163,9,0.27407914
12,C2,187,0.1965718,0.052343786,0.18413867,0.5480926279402482,0.001,Yes,2.189439435692531,10,0.27660927
13,C3,180,0.20157145,0.05520769,0.19382522,0.6065504730245861,0.001,Yes,2.419462224787612,9,0.27032173
14,C4,184,0.1838391,0.04611694,0.17857656,0.6184978926262888,0.001,Yes,2.470630302220364,10,0.2522812
15,C5,181,0.18514913,0.048249245,0.17554967,0.5025900300607642,0.001,Yes,2.007583309597411,9,0.23431094
16,C6,178,0.18352015,0.05153281,0.17185727,0.4803631926052346,0.001,Yes,1.9187540014801894,9,0.23646201
17,D1,306,0.23781292,0.04535425,0.2437546,0.5805104962159451,0.001,Yes,2.32014481457263,16,0.18409356
18,D2,303,0.25369093,0.039582044,0.25705802,0.549538017992733,0.001,Yes,2.19633811539692,16,0.2131888
19,D3,301,0.24100545,0.045038022,0.24096611,0.6572297215461731,0.001,Yes,2.6289189599899108,15,0.21292591
